List of Designated Securities Eligible for Short Selling,
Effective date : 11/09/2026,
Note : Delisted securities excluded,

No.,Stock Code,Stock Short Name,Currency,Type,Exempt from Tick Rule,Remarks
480,2400,XD INC,HKD,EQTY,,,
481,2411,PAGODA GP,HKD,EQTY,,,
482,2419,DEKON AGR,HKD,EQTY,,,
483,2423,BEKE-W,HKD,EQTY,,,
484,2429,UBOX ONLINE,HKD,EQTY,,,
485,2432,DOBOT,HKD,EQTY,,,
486,2451,LUYUAN GP HLDG,HKD,EQTY,,,
487,2460,CR BEVERAGE,HKD,EQTY,,,
488,2465,LOPAL TECH,HKD,EQTY,,Add,
489,2475,LUXSHARE ICT,HKD,EQTY,,,
490,2476,VGT,HKD,EQTY,,,
491,2488,LAUNCH TECH,HKD,EQTY,,,
492,2489,PERSISTENCEGOLD,HKD,EQTY,,,
493,2490,LC HOLDING,HKD,EQTY,,,
494,2498,ROBOSENSE,HKD,EQTY,,,
495,2506,XUNFEIHEALTH,HKD,EQTY,,,
496,2507,CIRRUS,HKD,EQTY,,,
497,2509,QYUNS-B,HKD,EQTY,,,
498,2510,TS LINES,HKD,EQTY,,,
499,2513,Z.AI,HKD,EQTY,,,
500,2517,GUOQUAN,HKD,EQTY,,,
501,2518,AUTOHOME-S,HKD,EQTY,,,
502,2525,HESAI-W,HKD,EQTY,,,
503,2526,DIAGENS-B,HKD,EQTY,,Add,
504,2533,BLACK SESAME,HKD,EQTY,,,
505,2552,HUA MEDICINE-B,HKD,EQTY,,,
506,2555,CHABAIDAO,HKD,EQTY,,,
507,2556,MARKETINGFORCE,HKD,EQTY,,,
508,2561,VISEN PHARMA-B,HKD,EQTY,,,
509,2565,PEGBIO CO-B,HKD,EQTY,,,
510,2570,REFIRE,HKD,EQTY,,Add,
511,2575,XUANZHUBIO-B,HKD,EQTY,,,
512,2577,INNOSCIENCE,HKD,EQTY,,,
513,2579,CNGR,HKD,EQTY,,,
514,2580,AUX ELECTRIC,HKD,EQTY,,,
515,2583,HIPINE,HKD,EQTY,,,
